ディレクトリID,パス名
564040,CD・DVD >> Blu-ray >> TVドキュメンタリー >> スポーツ
777777,XXX >> Blu-ray >> TVドキュメンタリー >> スポーツ
553640,CD・DVD >> Blu-ray >> TVドキュメンタリー >> その他
564043,CD・DVD >> Blu-ray >> TVドキュメンタリー >> タレント
564041,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宇宙・科学
564039,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宗教
564038,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 動物・人体・自然
564042,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 旅・紀行
564036,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 歴史・地理
553526,CD・DVD >> Blu-ray >> TVドラマ >> アジア
505038,CD・DVD >> Blu-ray >> TVドラマ >> その他
553525,CD・DVD >> Blu-ray >> TVドラマ >> 海外
